Type,SKU,Name,Parent,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,PACK-EAU,Pack Eau,,1,0,visible,"1 fontaine à eau + 1 bonbonne + 100 gobelets.","Le Pack Eau pour hydrater vos invités lors de salons, séminaires et événements en PACA et sur la Côte d'Azur : 1 fontaine à eau, 1 bonbonne et 100 gobelets. Livraison, installation et reprise incluses sous 24h. Prix indicatif HT par jour.",125,Packs,https://raw.githubusercontent.com/petitkabyle/EauService/main/pack%20eau.png,,,,
variable,PACK-BASE,Pack Events Base,,1,1,visible,"1 fontaine à eau + 1 bonbonne + 100 gobelets + 1 machine à café + kit café.","Notre pack le plus demandé : eau et café réunis pour votre événement. Comprend 1 fontaine à eau, 1 bonbonne, 100 gobelets, 1 machine à café et son kit café. Choisissez votre machine ci-dessous (option Nespresso Zenius avec kit 200). Livraison, installation et reprise incluses sous 24h. Prix indicatif HT par jour.",,Packs,https://raw.githubusercontent.com/petitkabyle/EauService/main/pack%20de%20base%20nespresso.png,Machine,"Lavazza (kit 150) | Covim (kit 150) | Nespresso Zenius (kit 200)",1,1
variation,PACK-BASE-LAVAZZA,,PACK-BASE,1,0,,,"Pack Events Base avec machine Lavazza et kit café 150.",240,,,Machine,Lavazza (kit 150),,
variation,PACK-BASE-COVIM,,PACK-BASE,1,0,,,"Pack Events Base avec machine Covim et kit café 150.",240,,,Machine,Covim (kit 150),,
variation,PACK-BASE-NESPRESSO,,PACK-BASE,1,0,,,"Pack Events Base avec machine Nespresso Zenius et kit café 200.",280,,,Machine,Nespresso Zenius (kit 200),,
variable,PACK-COMPLET,Pack Events Complet,,1,0,visible,"Pack Base + 1 réfrigérateur de comptoir.","La solution complète pour vos plus grands événements : 1 fontaine à eau, 1 bonbonne, 100 gobelets, 1 machine à café, son kit café et 1 réfrigérateur de comptoir. Choisissez votre machine ci-dessous (option Nespresso Zenius avec kit 200). Livraison, installation et reprise incluses sous 24h. Prix indicatif HT par jour.",,Packs,https://raw.githubusercontent.com/petitkabyle/EauService/main/pack%20complet%20nespresso.png,Machine,"Lavazza (kit 150) | Covim (kit 150) | Nespresso Zenius (kit 200)",1,1
variation,PACK-COMPLET-LAVAZZA,,PACK-COMPLET,1,0,,,"Pack Events Complet avec machine Lavazza et kit café 150.",320,,,Machine,Lavazza (kit 150),,
variation,PACK-COMPLET-COVIM,,PACK-COMPLET,1,0,,,"Pack Events Complet avec machine Covim et kit café 150.",320,,,Machine,Covim (kit 150),,
variation,PACK-COMPLET-NESPRESSO,,PACK-COMPLET,1,0,,,"Pack Events Complet avec machine Nespresso Zenius et kit café 200.",360,,,Machine,Nespresso Zenius (kit 200),,
simple,MACHINE-LAVAZZA,Machine à café Lavazza (kit 150 inclus),,1,0,visible,"Machine à café Lavazza professionnelle, kit café 150 inclus.","Location de machine à café Lavazza avec kit café 150 inclus, idéale pour vos stands et événements. Livraison et installation sous 24h. Prix indicatif HT par jour.",140,Machines à café,https://raw.githubusercontent.com/petitkabyle/EauService/main/machine%20a%20caf%C3%A9%20lavazza.png,,,,
simple,MACHINE-COVIM,Machine à café Covim (kit 150 inclus),,1,0,visible,"Machine à café Covim professionnelle, kit café 150 inclus.","Location de machine à café Covim avec kit café 150 inclus, idéale pour vos stands et événements. Livraison et installation sous 24h. Prix indicatif HT par jour.",140,Machines à café,https://raw.githubusercontent.com/petitkabyle/EauService/main/machine%20a%20caf%C3%A9%20covim.png,,,,
simple,MACHINE-ZENIUS,Machine à café Nespresso Zenius (kit 200 inclus),,1,0,visible,"Machine à café Nespresso Zenius, kit café 200 inclus.","Location de machine à café Nespresso Zenius avec kit café 200 inclus, pour un café d'exception sur votre événement. Livraison et installation sous 24h. Prix indicatif HT par jour.",210,Machines à café,https://raw.githubusercontent.com/petitkabyle/EauService/main/Zenius.png,,,,
